"ABANCA CORPORACION BANCARIA, S.A.",.*\babanca.*
"ABENGOA, S.A.",.*\babengoa.*
"ABERTIS INFRAESTRUCTURAS, S.A.",.*\babertis.*
"ACCIONA, S.A.",.*\bacciona\b.*
"ACERINOX, S.A.",.*\bacerinox.*
"ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, S.A.",.*\b(acs|actividades de construcci(o|ó)n y servicios)\b.*
"ADOLFO DOMINGUEZ, S.A.",.*\badolfo dom(i|í)nguez.*
"ADVEO GROUP INTERNATIONAL, S.A.",.*\badveo\b.*
"AENA, S.A.",.*\baena\b.*
"AGUAS DE VALENCIA, S.A.",.*aguas de valencia.*
"AHORRO FAMILIAR, S.A.",.*\bahorro familiar.*
"ALCINVER,S.A.",.*\balcinver\b.*
"ALDEASA, S.A.",.*\baldeasa\b.*
"ALMIRALL, S.A.",.*\balmirall\b.*
"ALTADIS, S.A.",.*\baltadis\b.*
"ALZA REAL ESTATE, S.A.",.*\balza real\b.*
"AMADEUS GLOBAL TRAVEL DISTRIBUTION, S.A.",.*\bamadeus\b.*
"AMADEUS IT HOLDING, S.A.",.*\bamadeus i.*
"AMCI HABITAT, S.A. (EN LIQUIDACIÓN)",.*\bamci\b.*
"AMPER, S.A.",.*\bamper\b.*
"APPLUS SERVICES, S.A.",.*\bapplus\b.*
"ARCELOR, S.A.",.*\barcelor\b.*
"ATRESMEDIA CORPORACION DE MEDIOS DE COMUNICACION, S.A.",.*\batresmedia\b.*
"AUTOPISTA CONCESIONARIA ASTUR-LEONESA, S.A.",.*autopista.*astur\-?leonesa.*
"AUTOPISTA VASCO-ARAGONESA, CONCESIONARIA ESPAÑOLA, S.A.",.*autopista.*vasco\-?aragonesa.*
"AUTOPISTAS DE NAVARRA, S.A.",.*autopistas (de )?navarra.*
"AUTOPISTAS DEL ATLANTICO, CONCESIONARIA ESPAÑOLA, S.A",.*autopistas (del )?atl(a|á)ntico.*
"AUTOVIA DE LOS VIÑEDOS, S.A.",.*autov(i|í)a (de los )?vi(ñ|n)edos.*
"AXIARE PATRIMONIO SOCIMI, S.A.",.*\baxia(re)?\b.*
"AYCO GRUPO INMOBILIARIO, S.A.",.*\bayco\b.*
"AZKOYEN, S.A.",.*\bazkoyen\b.*
"BANCA CIVICA, S.A.",.*\bbanca c(i|í)vica\b.*
"BANCA MARCH, S.A.",.*\bbanca march\b.*
"BANCA PUEYO, S.A.",.*\bbanca pueyo\b.*
"BANCO CAM, S.A.",.*\bbanco cam\b.*
"BANCO COOPERATIVO ESPAÑOL, S.A.",.*\bbanco cooperativo espa(ñ|n)ol\b.*
"BANCO DE ANDALUCIA, S.A.",.*\bbanco de andaluc.*
"BANCO DE CAJA ESPAÑA DE INVERSIONES, SALAMANCA Y SORIA, S.A.",.*\bbanco de caja espa.*
"BANCO DE CASTILLA, S.A.",.*\bbanco de castilla\b.*
"BANCO DE CASTILLA-LA MANCHA, S.A.",.*\bbanco de castilla\-.*
"BANCO DE CREDITO BALEAR, S.A.",.*\bbanco? de cr(e|é|è)dito? balear\b.*
"BANCO DE CREDITO LOCAL DE ESPAÑA, S.A.",.*\bbanco de cr(e|é)dito local de esp.*
"BANCO DE GALICIA, S.A.",.*\bbanco de gal(i|í)cia.*
"BANCO DE PROMOCIÓN DE NEGOCIOS, S.A.	",.*\bbanco de promoci(o|ó)n de neg.*
"BANCO DE SABADELL, S.A.",.*\bbanco? (de )?sabadell.*
"BANCO DE VALENCIA, S.A.",.*\bbanco? (de )?val(e|é|è)ncia.*
"BANCO DE VASCONIA, S.A.",.*\bbanco (de )?vasconia.*
"BANCO ESPAÑOL DE CREDITO, S.A.",.*\bbanco espa(ñ|n)ol de cr(e|é)dito.*
"BANCO ETCHEVERRIA, S.A.",.*\bbanco etcheverria.*
"BANCO GALLEGO, S.A.",.*\bbanco gallego.*
"BANCO GRUPO CAJATRES, S.A.",.*\bbanco.*cajatres.*
"BANCO GUIPUZCOANO, S.A.",.*\bbanco guipuzcoano.*
"BANCO MARE NOSTRUM, S.A.",.*\bbanco mare nostrum.*
"BANCO PASTOR, S.A.",.*\bbanco pastor.*
"BANCO POPULAR ESPAÑOL, S.A.",.*\bbanco popular.*
"BANCO SANTANDER, S.A.",.*\b(banco|grupo) santander.*
"BANKIA, S.A",.*\bbankia.*
"BANKINTER EMISIONES, S.A.",.*\bbankinter emis.*
"BANKINTER SOCIEDAD DE FINANCIACION, S.A.",.*\bbankinter sociedad de fi.*
"BANKINTER, S.A.",.*\bbankinter((?!( sociedad de fi.*| emis.*)).*)
"BANKOA, S.A.",.*\bbankoa\b.*
"BARCLAYS BANK, S.A.",.*\bbarclays.*
"BARON DE LEY, S.A.",.*\bbar(o|ó)n de ley\b.*
"BBVA BANCO DE FINANCIACION, S.A.",.*\bbbva\b.*
"BEFESA MEDIO AMBIENTE, S.A.",.*\bbefesa\b.*
"BFA TENEDORA DE ACCIONES, S.A.",.*\bbfa\b.*
"BIOSEARCH, S.A.",.*\bbiosearch\b.*
"BODEGAS BILBAINAS, S.A.",.*\bbodegas bilba.*
"BODEGAS RIOJANAS, S.A.",.*\bbodegas riojan.*
"BOLSAS Y MERCADOS ESPAÑOLES, SDAD HOLDING DE MDOS Y STMAS FIN., S.A.",.*\b(bolsas y mercados|bme)\b.*
"BORGES AGRICULTURAL & INDUSTRIAL NUTS, S.A.",.*\bborges\b.*
"BPE PREFERENCE INTERNATIONAL",.*\bbpe.*
"BYADA S.A.",.*\bbyada\b.*
"CAIXA CATALUNYA PREFERENTS, S.A.",.*\bcaixa catalunya prefe.*
"CAIXA DE AFORROS DE GALICIA, VIGO, OURENSE E PONTEVEDRA",.*\bcaixa.*gal(i|í)cia.*\bvigo.*
"CAIXA DE AFORROS DE VIGO, OURENSE E PONTEVEDRA (CAIXANOVA)",.*\bcaixanova\b.*
"CAIXA D´ESTALVIS COMARCAL DE MANLLEU",.*\bcaixa.*manlleu.*
"CAIXA D´ESTALVIS DE CATALUNYA",.*\bcaixa.*estalvis.*catalunya((?!.*tarragona.*).*)
"CAIXA D´ESTALVIS DE CATALUNYA, TARRAGONA I MANRESA",.*\bcaixa.*estalvis.*catalunya.*tarragona.*
"CAIXA D´ESTALVIS DE GIRONA",.*\bcaixa.*girona.*
"CAIXA D´ESTALVIS DE MANRESA",.*\bcaixa((?!.*catalunya.*).*)manresa.*
"CAIXA D´ESTALVIS DE SABADELL",.*\bcaixa.*sabadell.*
"CAIXA D´ESTALVIS DE TARRAGONA",.*\bcaixa((?!.*catalunya.*).*)tarragona.*
