ABANCA_CORPORACION_BANCARIA__S_A_,"ABANCA CORPORACION BANCARIA, S.A."
ABENGOA,"ABENGOA, S.A."
ABERTIS,"ABERTIS INFRAESTRUCTURAS, S.A."
ACCIONA,"ACCIONA, S.A."
ACERINOX,"ACERINOX, S.A."
ACS,"ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, S.A."
ADOLFO_DOMINGUEZ,"ADOLFO DOMINGUEZ, S.A."
ADVEO,"ADVEO GROUP INTERNATIONAL, S.A."
AENA,"AENA, S.A."
AGROFRUSE,"BORGES AGRICULTURAL & INDUSTRIAL NUTS, S.A."
AGUAS_DE_BARCELONA,"SOCIEDAD GENERAL DE AGUAS DE BARCELONA, S.A."
AGUAS_DE_VALENCIA,"AGUAS DE VALENCIA, S.A."
AHORRO_FAMILIAR,"AHORRO FAMILIAR, S.A."
AIRBUS,EADS NV
ALCINVER,"ALCINVER,S.A."
ALDEASA,"ALDEASA, S.A."
ALMIRALL,"ALMIRALL, S.A."
ALTADIS,"ALTADIS, S.A."
ALZA,"ALZA REAL ESTATE, S.A."
AMADEUS_IT_GROUP__S_A_,"AMADEUS GLOBAL TRAVEL DISTRIBUTION, S.A."
AMADEUS_IT_HOLDING,"AMADEUS IT HOLDING, S.A."
AMCI_HABITAT,"AMCI HABITAT, S.A. (EN LIQUIDACIÓN)"
AMPER,"AMPER, S.A."
APPLUS,"APPLUS SERVICES, S.A."
ARCELOR_MITTAL,"ARCELOR, S.A."
ATRESMEDIA,"ATRESMEDIA CORPORACION DE MEDIOS DE COMUNICACION, S.A."
AUCALSA,"AUTOPISTA CONCESIONARIA ASTUR-LEONESA, S.A."
AUDASA,"AUTOPISTAS DEL ATLANTICO, CONCESIONARIA ESPAÑOLA, S.A"
AUDENASA,"AUTOPISTAS DE NAVARRA, S.A."
AUTOVIA_DE_LOS_VIÑEDOS,"AUTOVIA DE LOS VIÑEDOS, S.A."
AVASA,"AUTOPISTA VASCO-ARAGONESA, CONCESIONARIA ESPAÑOLA, S.A."
AXIA,"AXIARE PATRIMONIO SOCIMI, S.A."
AYCO,"AYCO GRUPO INMOBILIARIO, S.A."
AZKAR,"TRANSPORTES AZKAR, S.A."
AZKOYEN,"AZKOYEN, S.A."
BANCAJA,"CAJA DE AHORROS DE VALENCIA, CASTELLON Y ALICANTE, BANCAJA"
BANCAJA_CAPITAL,BANCAJA CAPITAL  S.A. SOCIEDAD UNIPERSONAL
BANCAJA_EMISIONES,BANCAJA EMISIONES  S.A. SOCIEDAD UNIPERSONAL
BANCAJA_EUROCAPITAL,"BANCAJA EUROCAPITAL FINANCE, S.A."
BANCA_CIVICA__S_A_,"BANCA CIVICA, S.A."
BANCA_MARCH,"BANCA MARCH, S.A."
BANCA_PUEYO,"BANCA PUEYO, S.A."
BANCO_CAM,"BANCO CAM, S.A."
BANCO_CASTILLA_LA_MANCHA,"BANCO DE CASTILLA-LA MANCHA, S.A."
BANCO_COOPERATIVO,"BANCO COOPERATIVO ESPAÑOL, S.A."
BANCO_ETCHEVERRIA,"BANCO ETCHEVERRIA, S.A."
BANCO_SABADELL,"BANCO DE SABADELL, S.A."
