,spending,epu,euro_news
1987-06-01,,42.4472316402,57.1068763733
1987-12-01,,70.9936170632,57.5277048747
1988-06-01,,102.296043559,76.3777599335
1988-12-01,,71.5808766007,64.9548328945
1989-06-01,,68.3548421489,64.4242490132
1989-12-01,,72.8489000886,55.7711257935
1990-06-01,,68.116184588,67.1956164042
1990-12-01,,59.3448993876,77.904094696
1991-06-01,,102.122815877,97.2509403229
1991-12-01,,82.4589519381,99.9742507935
1992-06-01,,77.0789870764,77.6605199178
1992-12-01,,87.4609036575,82.340432485
1993-06-01,,151.125620843,130.609319051
1993-12-01,,160.508304737,119.317537944
1994-06-01,,75.1396935502,111.880598068
1994-12-01,,98.8524604947,88.8020833333
1995-06-01,0.177438328818,90.6561202915,103.751850764
1995-12-01,0.176690959623,141.504201156,92.6918207804
1996-06-01,0.17590463129,110.632206933,88.8968811035
1996-12-01,0.175105208862,68.0644564935,111.963003794
1997-06-01,0.173602360635,51.3767712647,90.8925603231
1997-12-01,0.171270290763,95.4652220743,116.235468547
1998-06-01,0.169029134194,62.8341293081,92.1504211426
1998-12-01,0.169021756776,49.6967264022,92.0991910299
1999-06-01,0.169794749004,113.916942899,130.996172587
1999-12-01,0.16799609421,41.0271990652,92.876373291
2000-06-01,0.167476936405,33.9686626416,78.0581219991
2000-12-01,0.167424190822,46.049055096,70.5764713288
2001-06-01,0.166752351377,66.4269432362,82.974014918
2001-12-01,0.165492323656,86.2552601453,93.6197484334
2002-06-01,0.165705908662,174.490724639,145.972634633
2002-12-01,0.165990206674,134.559865707,110.536762238
2003-06-01,0.167758546039,220.08954098,153.621129354
2003-12-01,0.167447061812,277.45049639,170.382993062
2004-06-01,0.169632477007,118.263594482,84.2923965454
2004-12-01,0.171601658826,107.367708835,107.081155141
2005-06-01,0.172866927024,102.680837043,92.8609720866
2005-12-01,0.172937908258,89.9853762396,88.2425842285
2006-06-01,0.173008188467,101.070805537,92.6195786794
2006-12-01,0.17308390234,63.2851969236,80.6355438232
2007-06-01,0.174960939816,62.5962186905,69.6709594726
2007-12-01,0.176747415094,60.9811171487,59.7230224609
2008-06-01,0.180395111635,180.815315999,119.048873901
2008-12-01,0.187185768154,120.514167522,106.099441528
2009-06-01,0.196778216132,122.142669206,153.083104451
2009-12-01,0.205554895349,108.452931108,120.886997223
2010-06-01,0.207219241402,103.568981701,115.17128245
2010-12-01,0.20528330087,138.715863166,164.772949219
2011-06-01,0.204488597961,166.794948176,169.909184774
2011-12-01,0.205355474676,142.158612831,151.380640666
2012-06-01,0.20351758794,212.208081714,250.390274048
2012-12-01,0.200036423936,179.838904946,212.364128113
2013-06-01,0.191315373162,188.882976066,211.454691569
2013-12-01,0.197032347029,157.920540293,188.093399048
2014-06-01,0.195462762216,159.227256276,167.584564209
2014-12-01,0.195569693242,113.531712425,133.302171071
2015-06-01,0.192200514975,156.956366615,161.837394714
2015-12-01,0.193904587923,149.016089559,163.034337362
2016-06-01,,239.407854237,168.613398234
